Naziv projekta,Fond,Šifra operativnog programa,Operativni program,NUTSII,Županija,Korisnik,Osobni identifikacijski broj,Datum ugovaranja,Zaključni datum provedbe aktivnosti,Bespovratna sredstva,Ukupno prihvatljivi troškovi,,,,,
Uz pomoćnike u nastavi prema obrazovnoj inkluziji u Karlovačkoj županiji ,Europski socijani fond,HR,Razvoj ljudskih potencijala,Continental Croatia,KARLOVAČKA,Karlovačka županija ,65050537368,07.11.2014,30.09.2015,"1.183.997,00 kn","1.183.997,00 kn",,,,,
Daljnji razvoj standarda zanimanja,Europski socijani fond,HR,Razvoj ljudskih potencijala,Continental Croatia,KARLOVAČKA,Hrvatski zavod za zapošljavanje ,91547293790,09.03.2015,30.06.2016,"760.956,35 kn","760.956,35 kn",,,,,
Promocija poduzetništva i obrta u šumarskom i drvnom sektoru,Europski socijani fond,HR,Razvoj ljudskih potencijala,Continental Croatia,KARLOVAČKA,Institut za razvoj i međunarodne odnose ,31120185175,20.07.2015,19.07.2016,"295.220,84 kn","295.220,84 kn",,,,,
Povećanje znanja i vještina zaposlenika tvrtke Comel kroz specijalističke edukacije,Europski socijani fond,HR,Razvoj ljudskih potencijala,Continental Croatia,KARLOVAČKA,"Comel d.o.o. za marketing, inženjering, proizvodnju i servis računala i opreme",11085290021,26.08.2015,25.04.2016,"87.766,32 kn","92.385,60 kn",,,,,
EDUCA - Novi sustav sindikalnog osposobljavanja,Europski socijani fond,HR,Razvoj ljudskih potencijala,Continental Croatia,KARLOVAČKA,Savez samostalnih sindikata Hrvatske ,602600385,27.07.2015,26.07.2016,"1.797.282,11 kn","1.797.282,11 kn",,,,,
Znanjem do boljeg socijalnog dijaloga,Europski socijani fond,HR,Razvoj ljudskih potencijala,Continental Croatia,KARLOVAČKA,Sindikat metalaca Hrvatske – Industrijski sindikat  ,97064188151,27.07.2015,26.07.2016,"923.934,49 kn","923.934,49 kn",,,,,
SOCIJALNO PODUZETNIŠTVO-NOVE KOMPETENCIJE KOMERCIJALISTA,Europski socijani fond,HR,Razvoj ljudskih potencijala,Continental Croatia,KOPRIVNIČKO-KRIŽEVAČKA,Komercijalna i trgovačka škola Bjelovar ,65398086491,24.04.2015,23.05.2016,"849.073,11 kn","849.073,11 kn",,,,,
Usluge osobne asistencije,Europski socijani fond,HR,Razvoj ljudskih potencijala,Continental Croatia,KOPRIVNIČKO-KRIŽEVAČKA,Udruga osoba s invaliditetom Križevci ,30631508915,29.10.2015,28.10.2016,"292.944,01 kn","292.944,01 kn",,,,,
Širenje usluge osobne asistencije za osobe s invaliditetom,Europski socijani fond,HR,Razvoj ljudskih potencijala,Continental Croatia,KOPRIVNIČKO-KRIŽEVAČKA,Gradsko društvo osoba s invaliditetom Đurđevac ,50087679858,29.10.2015,28.10.2016,"673.780,42 kn","673.780,42 kn",,,,,
Informatizacija i  stručne edukacije u centrima za socijalnu skrb (ISECSS),Europski socijani fond,HR,Razvoj ljudskih potencijala,Continental Croatia,KOPRIVNIČKO-KRIŽEVAČKA,Ministarstvo socijalne politike i mladih ,15351583880,18.06.2015,17.06.2016,"5.172.338,50 kn","5.172.338,50 kn",,,,,
Plan provedbe za sanaciju opasnih mjesta na državnim cestama Republike Hrvatske,Europski fond za regionalni razvoj,TR,Promet,Continental Croatia,KOPRIVNIČKO-KRIŽEVAČKA,Hrvatske ceste d.o.o. ,55545787885,16.10.2015,30.06.2016,"559.300,00 kn","658.000,00 kn",,,,,
Projekt razvoja IPP i IPT na području regije sjeverne Hrvatske,Europski fond za regionalni razvoj,TR,Promet,Continental Croatia,KOPRIVNIČKO-KRIŽEVAČKA,Varaždinska županija ,15877210917,05.05.2015,30.09.2016,"4.419.606,88 kn","5.199.537,50 kn",,,,,
RAZVOJNI CENTAR I TEHNOLOŠKI PARK KRIŽEVCI,Europski fond za regionalni razvoj,RC,Regionalna konkurentnost,Continental Croatia,KOPRIVNIČKO-KRIŽEVAČKA,GRAD KRIŽEVCI ,35435239132,30.09.2014,29.09.2016,"33.817.117,60 kn","34.214.000,00 kn",,,,,
"Izgradnja nove željezničke pruge za prigradski promet na dionici Gradec - Sveti Ivan Žabno, Hrvatska",Europski fond za regionalni razvoj,TR,Promet,Continental Croatia,KOPRIVNIČKO-KRIŽEVAČKA,HŽ Infrastruktura d.o.o. ,39901919995,08.06.2015,31.12.2016,"222.733.122,98 kn","222.733.122,98 kn",,,,,
Izrada studije uvođenja Europskog sustava upravljanja željezničkim prometom (ERTMS),Europski fond za regionalni razvoj,TR,Promet,Continental Croatia,KOPRIVNIČKO-KRIŽEVAČKA,HŽ Infrastruktura d.o.o. ,39901919995,08.06.2015,30.09.2016,"4.250.000,00 kn","5.000.000,00 kn",,,,,
REKONSTRUKCIJA POSTOJEĆEG I IZGRADNJA DRUGOG KOLOSIJEKA ŽELJEZNIČKE PRUGE NA DIONICI DUGO SELO-KRIŽEVCI,Europski fond za regionalni razvoj,TR,Promet,Continental Croatia,KOPRIVNIČKO-KRIŽEVAČKA,HŽ Infrastruktura d.o.o. ,39901919995,08.06.2015,31.07.2018,"1.517.121.567,48 kn","1.517.121.567,48 kn",,,,,
Izgradnja kapaciteta za programsko financiranje visokih učilišta,Europski socijani fond,HR,Razvoj ljudskih potencijala,Continental Croatia,KOPRIVNIČKO-KRIŽEVAČKA,"Ministarstvo znanosti, obrazovanja i sporta",49508397045,08.06.2015,19.05.2016,"1.950.750,00 kn","2.295.000,00 kn",,,,,
Jačanje kompetencija do ključa uspjeha - učinkovitog bipartitnog dijaloga ,Europski socijani fond,HR,Razvoj ljudskih potencijala,Continental Croatia,KOPRIVNIČKO-KRIŽEVAČKA,Grad Koprivnica ,62112914641,27.07.2015,26.07.2016,"1.183.932,80 kn","1.183.932,80 kn",,,,,
"Pr(a)vi put u biznis!- Projekt promicanja poduzetništva ugroženih skupina
",Europski socijani fond,HR,Razvoj ljudskih potencijala,Continental Croatia,KOPRIVNIČKO-KRIŽEVAČKA,Institut za razvoj poduzetništva i europske projekte ,68105934277,21.07.2015,20.07.2016,"235.549,37 kn","248.236,50 kn",,,,,
Vrijedne ručice,Europski socijani fond,HR,Razvoj ljudskih potencijala,Continental Croatia,KOPRIVNIČKO-KRIŽEVAČKA,Dječji vrtić Tratinčica ,14751195303,21.07.2015,20.07.2016,"286.382,15 kn","286.382,15 kn",,,,,
"Ready, Steady, Go!",Europski socijani fond,HR,Razvoj ljudskih potencijala,Continental Croatia,KOPRIVNIČKO-KRIŽEVAČKA,Koprivnički poduzetnik d.o.o. ,74249041153,03.08.2015,02.08.2016,"291.231,76 kn","306.559,76 kn",,,,,
Podizanje razine kvalitete Instruktažnog centra,Europski socijani fond,HR,Razvoj ljudskih potencijala,Continental Croatia,KOPRIVNIČKO-KRIŽEVAČKA,Instruktažni centar d.o.o. ,39852648199,20.07.2015,19.07.2016,"231.681,02 kn","245.448,20 kn",,,,,
Hoću biti vješt(đ)ak,Europski socijani fond,HR,Razvoj ljudskih potencijala,Continental Croatia,KOPRIVNIČKO-KRIŽEVAČKA,"Hrvatska obrtnička komora, Obrtnička komora Koprivničko-križevačke županije",52210976586,20.07.2015,19.07.2016,"228.626,73 kn","240.698,01 kn",,,,,
Promocija obrtničkih i strukovnih zanimanja u duhu razvoja poduzetništva,Europski socijani fond,HR,Razvoj ljudskih potencijala,Continental Croatia,KOPRIVNIČKO-KRIŽEVAČKA,Srednja škola Ludbreg ,50911651579,20.07.2015,19.07.2016,"164.188,48 kn","164.188,48 kn",,,,,
Poduzetnik za pet,Europski socijani fond,HR,Razvoj ljudskih potencijala,Continental Croatia,KOPRIVNIČKO-KRIŽEVAČKA,Strukovna škola Đurđevac ,65091212700, Održavanje motivirajućih radionica, Osnivanje i poslovanje učeničke zadruge, Marketinške aktivnosti zadruge, Upravljanje projektom te Promocija i vidljivost.,20.07.2015,19.07.2016,"288.087,71 kn","288.087,71 kn",
- MI - Novi  alat za rad u lokalnoj zajednici,Europski socijani fond,HR,Razvoj ljudskih potencijala,Continental Croatia,KOPRIVNIČKO-KRIŽEVAČKA,Udruga Mali plac ,65420013583,29.12.2014,28.12.2015,"200.000,00 kn","200.000,00 kn",,,,,
Znanjem do promjena,Europski socijani fond,HR,Razvoj ljudskih potencijala,Continental Croatia,KOPRIVNIČKO-KRIŽEVAČKA,"S.O.S. savjetovanje, osnaživanje, suradnja",50205897655,29.12.2014,28.02.2016,"749.957,00 kn","749.957,00 kn",,,,,
RUKA POMOĆI,Europski socijani fond,HR,Razvoj ljudskih potencijala,Continental Croatia,KOPRIVNIČKO-KRIŽEVAČKA,"Klub za starije osobe ""Mariška""",87707512563,21.09.2015,20.11.2016,"1.318.913,18 kn","1.318.913,18 kn",,,,,
Moj korak do samostalnosti,Europski socijani fond,HR,Razvoj ljudskih potencijala,Continental Croatia,KOPRIVNIČKO-KRIŽEVAČKA,Udruga osoba s intelektualnim teškoćama Međimurske županije ,62455546018,01.07.2015,31.08.2016,"1.442.103,66 kn","1.442.103,66 kn",,,,,
PRogram: Inovativni RUralni Centar za Inkluziju (PRI RUCI),Europski socijani fond,HR,Razvoj ljudskih potencijala,Continental Croatia,KOPRIVNIČKO-KRIŽEVAČKA,GTF-Inicijativa za održivi rast ,72712746460,01.07.2015,30.06.2016,"1.104.005,00 kn","1.104.005,00 kn",,,,,
Aktivno za socijalnu sigurnost i jednake mogućnosti u svijetu rada,Europski socijani fond,HR,Razvoj ljudskih potencijala,Continental Croatia,KOPRIVNIČKO-KRIŽEVAČKA,"CESI – Centar za edukaciju, savjetovanje i istraživanje ",81873549225,29.12.2014,28.12.2015,"592.754,16 kn","592.754,16 kn",,,,,
Zajedno za mame,Europski socijani fond,HR,Razvoj ljudskih potencijala,Continental Croatia,KOPRIVNIČKO-KRIŽEVAČKA,"Udruga roditelja ""Korak po korak""",85852827713,29.12.2014,28.02.2016,"528.150,58 kn","528.150,58 kn",,,,,
Za bolje sutra: Jačanje sposobnosti organizacija civilnoga društva za pružanje socijalnih usluga,Europski socijani fond,HR,Razvoj ljudskih potencijala,Continental Croatia,KOPRIVNIČKO-KRIŽEVAČKA,Hrvatski savez slijepih ,49466521634,29.12.2014,28.02.2016,"749.407,06 kn","749.407,06 kn",,,,,
"IPAK - inkluzija, podrška, asistencija, kvaliteta",Europski socijani fond,HR,Razvoj ljudskih potencijala,Continental Croatia,KOPRIVNIČKO-KRIŽEVAČKA,Udruga roditelja djece s posebnim potrebama „Put u život“- PUŽ ,75502271466,29.12.2014,28.12.2015,"749.852,27 kn","749.852,27 kn",,,,,
"""Zajedno jači""",Europski socijani fond,HR,Razvoj ljudskih potencijala,Continental Croatia,KOPRIVNIČKO-KRIŽEVAČKA,"SRCE- udruga djece s teškoćama u ratzvoju,osoba s invaliditetom i njihovih obitelji",74744681525,29.12.2014,28.12.2015,"650.980,80 kn","650.980,80 kn",,,,,
Socijalna košarica,Europski socijani fond,HR,Razvoj ljudskih potencijala,Continental Croatia,KOPRIVNIČKO-KRIŽEVAČKA,Gradsko društvo Crvenog križa Koprivnica ,86728714397,29.12.2014,28.02.2016,"446.240,26 kn","446.240,26 kn",,,,,
Pojavnost mikotoksina u hrvatskim žitaricama (CroMycoScreen),Europski socijani fond,HR,Razvoj ljudskih potencijala,Continental Croatia,KOPRIVNIČKO-KRIŽEVAČKA,Prehrambeno-tehnološki fakultet ,96371000697,29.06.2015,29.09.2016,"776.078,34 kn","776.078,34 kn",,,,,
Obrazovni ishodi i radne karijere mladih koji su odrasli u siromaštvu,Europski socijani fond,HR,Razvoj ljudskih potencijala,Continental Croatia,KOPRIVNIČKO-KRIŽEVAČKA,Pravni fakultet u Zagrebu ,38583303160,30.06.2015,30.09.2016,"941.999,00 kn","957.802,00 kn",,,,,
Unapređenje studijskog programa Dentalna medicina u skladu s HKO,Europski socijani fond,HR,Razvoj ljudskih potencijala,Continental Croatia,KOPRIVNIČKO-KRIŽEVAČKA,"Sveučilište u Zagrebu, STOMATOLOŠKI  FAKULTET",70221464726,18.06.2015,18.09.2016,"2.436.799,96 kn","2.565.052,59 kn",,,,,
IZRADA STANDARDA ZANIMANJA I STANDARDA KVALIFIKACIJE STRUČNJAKA ZA OBRAZOVANJE ODRASLIH,Europski socijani fond,HR,Razvoj ljudskih potencijala,Continental Croatia,KOPRIVNIČKO-KRIŽEVAČKA,Filozofski fakultet Sveučilišta u Splitu ,98004523293,30.06.2015,31.08.2016,"896.900,00 kn","944.546,00 kn",,,,,
"RAZVOJ STANDARDA ZANIMANJA, STANDARDA KVALIFIKACIJA  I DIPLOMSKIH STUDIJSKIH PROGRAMA U KINEZIOLOGIJI",Europski socijani fond,HR,Razvoj ljudskih potencijala,Continental Croatia,KOPRIVNIČKO-KRIŽEVAČKA,KINEZIOLOŠKI FAKULTET SPLIT ,57848936921,18.06.2015,18.09.2016,"563.980,51 kn","593.663,70 kn",,,,,
Promocija poduzetništva i obrta u šumarskom i drvnom sektoru,Europski socijani fond,HR,Razvoj ljudskih potencijala,Continental Croatia,KOPRIVNIČKO-KRIŽEVAČKA,Institut za razvoj i međunarodne odnose ,31120185175,20.07.2015,19.07.2016,"295.220,84 kn","295.220,84 kn",,,,,
Daljnji razvoj standarda zanimanja,Europski socijani fond,HR,Razvoj ljudskih potencijala,Continental Croatia,KOPRIVNIČKO-KRIŽEVAČKA,Hrvatski zavod za zapošljavanje ,91547293790,09.03.2015,30.06.2016,"760.956,35 kn","760.956,35 kn",,,,,
EDUCA - Novi sustav sindikalnog osposobljavanja,Europski socijani fond,HR,Razvoj ljudskih potencijala,Continental Croatia,KOPRIVNIČKO-KRIŽEVAČKA,Savez samostalnih sindikata Hrvatske ,602600385,27.07.2015,26.07.2016,"1.797.282,11 kn","1.797.282,11 kn",,,,,
Informatizacija i  stručne edukacije u centrima za socijalnu skrb (ISECSS),Europski socijani fond,HR,Razvoj ljudskih potencijala,Continental Croatia,KRAPINSKO-ZAGORSKA,Ministarstvo socijalne politike i mladih ,15351583880,18.06.2015,17.06.2016,"5.172.338,50 kn","5.172.338,50 kn",,,,,
Asistent i ja za kvalitetniju budućnost,Europski socijani fond,HR,Razvoj ljudskih potencijala,Continental Croatia,KRAPINSKO-ZAGORSKA,Sveta Ana - udruga za pomoć djeci s teškoćama u razvoju i invalidnim osobama ,15099122594,23.11.2015,22.11.2016,"413.905,06 kn","413.905,06 kn",,,,,
Širenje usluge osobne asistencije,Europski socijani fond,HR,Razvoj ljudskih potencijala,Continental Croatia,KRAPINSKO-ZAGORSKA,Udruga distrofičara Krapina ,13391202745,29.10.2015,28.10.2016,"563.169,06 kn","563.169,06 kn",,,,,
"""Mijenjamo se! Modernizacija strukovnih kurikuluma sukladno promjenjivim potrebama tržišta rada""",Europski socijani fond,HR,Razvoj ljudskih potencijala,Continental Croatia,KRAPINSKO-ZAGORSKA,Srednja škola Krapina ,31689508648,24.04.2015,30.04.2016,"1.786.896,00 kn","1.786.896,00 kn",,,,,
Računalni asistent za podršku pri unosu teksta osobama s jezičnim poremećajima,Europski fond za regionalni razvoj,RC,Regionalna konkurentnost,Continental Croatia,KRAPINSKO-ZAGORSKA,SVEUČILIŠTE U ZAGREBU EDUKACIJSKO-REHABILITACIJSKI FAKULTET ,34967762426,17.10.2014,18.02.2016,"1.943.257,14 kn","2.361.178,13 kn",,,,,
Plan provedbe za sanaciju opasnih mjesta na državnim cestama Republike Hrvatske,Europski fond za regionalni razvoj,TR,Promet,Continental Croatia,KRAPINSKO-ZAGORSKA,Hrvatske ceste d.o.o. ,55545787885,16.10.2015,30.06.2016,"559.300,00 kn","658.000,00 kn",,,,,
Izrada studije uvođenja Europskog sustava upravljanja željezničkim prometom (ERTMS),Europski fond za regionalni razvoj,TR,Promet,Continental Croatia,KRAPINSKO-ZAGORSKA,HŽ Infrastruktura d.o.o. ,39901919995,08.06.2015,30.09.2016,"4.250.000,00 kn","5.000.000,00 kn",,,,,
"I. faza Master plana prometnog sustava Grada Zagreba, Zagrebačke županije i Krapinsko zagorske županije (Analiza
postojećeg stanja i razvoj prometnog modela)",Europski fond za regionalni razvoj,TR,Promet,Continental Croatia,KRAPINSKO-ZAGORSKA,Integrirani promet zagrebačkog područja d.o.o. ,88335054293,02.06.2015,30.09.2016,"10.000.000,00 kn","15.186.800,00 kn",,,,,
IKT podrška poslovanju,Europski fond za regionalni razvoj,RC,Regionalna konkurentnost,Continental Croatia,KRAPINSKO-ZAGORSKA,M.I.Hršak d.o.o.  ,95440480723,13.04.2015,01.10.2015,"340.519,48 kn","454.025,97 kn",,,,,
Povećanje konkurentnosti i učinkovitosti uvođenjem integriranog ERPa i telemetrijskog sustava,Europski fond za regionalni razvoj,RC,Regionalna konkurentnost,Continental Croatia,KRAPINSKO-ZAGORSKA,ARISTOS PLUS d.o.o. ,24364895873,16.01.2015,12.07.2016,"483.099,22 kn","690.141,74 kn",,,,,
Modernizacija tehnološke pripreme rada proizvodnog procesa TPK OROMETAL d.d.,Europski fond za regionalni razvoj,RC,Regionalna konkurentnost,Continental Croatia,KRAPINSKO-ZAGORSKA,TPK OROMETAL d.d. Oroslavje ,59467867961, promocija i vidljivost, Analiza postojećih poslovnih procesa i potreba za IKT rješenjem, Nabava i implementacija IKT poslovnog sustava i Edukacija zaposlenika.,15.05.2015,01.05.2016,"466.094,30 kn","621.459,07 kn",,
STUDIO GALERIJE ANTUNA AUGUSTINČIĆA,Europski fond za regionalni razvoj,RC,Regionalna konkurentnost,Continental Croatia,KRAPINSKO-ZAGORSKA,Muzeji Hrvatskog zagorja ,11298572202,29.09.2014,30.09.2016,"20.286.474,48 kn","21.696.764,15 kn",,,,,
IZGRADNJA I OPTIMALIZACIJA VODOOPSKRBNOG SUSTAVA PREGRADA,Kohezijski fond,EN,Okoliš,Continental Croatia,KRAPINSKO-ZAGORSKA,VIOP d.o.o. za vodoopskrbu i odvodnju ,73492360733,03.03.2016,31.08.2016,"1.444.962,24 kn","1.699.955,57 kn",,,,,
Izgradnja vodoopskrbnog sustava Harina Zlaka II.C faza III. dio te nastavak izgradnje opskrbe vodom naselja Lupinjak (Sustav Kostel-Klenovec),Kohezijski fond,EN,Okoliš,Continental Croatia,KRAPINSKO-ZAGORSKA,Humvio d.o.o. ,57056832546,04.03.2016,30.06.2016,"1.841.210,60 kn","2.166.130,10 kn",,,,,
MOPS - Modernizacija kurikuluma za suvremen i održiv poljoprivredni sektor,Europski socijani fond,HR,Razvoj ljudskih potencijala,Continental Croatia,KRAPINSKO-ZAGORSKA,Srednja škola Dragutina Stražimira ,4371929326,24.04.2015,30.04.2016,"1.575.558,30 kn","1.575.558,30 kn",,,,,
Izgradnja kapaciteta za programsko financiranje visokih učilišta,Europski socijani fond,HR,Razvoj ljudskih potencijala,Continental Croatia,KRAPINSKO-ZAGORSKA,"Ministarstvo znanosti, obrazovanja i sporta",49508397045,08.06.2015,19.05.2016,"1.950.750,00 kn","2.295.000,00 kn",,,,,
Gimnazija 100 +,Europski socijani fond,HR,Razvoj ljudskih potencijala,Continental Croatia,KRAPINSKO-ZAGORSKA,Srednja škola Krapina ,31689508648,23.10.2015,22.10.2016,"1.117.336,41 kn","1.117.336,41 kn",,,,,
Čista petica,Europski socijani fond,HR,Razvoj ljudskih potencijala,Continental Croatia,KRAPINSKO-ZAGORSKA,Srednja škola Novi Marof ,32288001921,23.10.2015,22.10.2016,"983.594,08 kn","983.594,08 kn",,,,,
"Pr(a)vi put u biznis!- Projekt promicanja poduzetništva ugroženih skupina
",Europski socijani fond,HR,Razvoj ljudskih potencijala,Continental Croatia,KRAPINSKO-ZAGORSKA,Institut za razvoj poduzetništva i europske projekte ,68105934277,21.07.2015,20.07.2016,"235.549,37 kn","248.236,50 kn",,,,,
SPEAK UP - Socijalnim dijalogom do unapređenja radnih uvjeta u sektoru cestovnog prometa,Europski socijani fond,HR,Razvoj ljudskih potencijala,Continental Croatia,KRAPINSKO-ZAGORSKA,Nezavisni cestarski sindikat ,84712436363,29.07.2015,28.07.2016,"853.264,00 kn","853.264,00 kn",,,,,
"""Zajedno jači""",Europski socijani fond,HR,Razvoj ljudskih potencijala,Continental Croatia,KRAPINSKO-ZAGORSKA,"SRCE- udruga djece s teškoćama u ratzvoju,osoba s invaliditetom i njihovih obitelji",74744681525,29.12.2014,28.12.2015,"650.980,80 kn","650.980,80 kn",,,,,
Aktivno za socijalnu sigurnost i jednake mogućnosti u svijetu rada,Europski socijani fond,HR,Razvoj ljudskih potencijala,Continental Croatia,KRAPINSKO-ZAGORSKA,"CESI – Centar za edukaciju, savjetovanje i istraživanje ",81873549225,29.12.2014,28.12.2015,"592.754,16 kn","592.754,16 kn",,,,,
''Uključivo socijalno društvo'' ,Europski socijani fond,HR,Razvoj ljudskih potencijala,Continental Croatia,KRAPINSKO-ZAGORSKA,Centar za rehabilitaciju Varaždin ,15576505643,01.07.2015,31.08.2016,"1.404.121,40 kn","1.404.121,40 kn",,,,,
Osobni asistent-ruka ka neovisnom življenju,Europski socijani fond,HR,Razvoj ljudskih potencijala,Continental Croatia,KRAPINSKO-ZAGORSKA,Društvo multiple skleroze Krapinsko - zagorske županije ,61077038174,29.10.2015,28.10.2016,"551.390,20 kn","551.390,20 kn",,,,,
Kroz školski kurikulum do suvremenih sadržaja i metoda u studijskoj produkciji?,Europski socijani fond,HR,Razvoj ljudskih potencijala,Continental Croatia,KRAPINSKO-ZAGORSKA,Elektrostrojarska škola ,64081807431,23.04.2015,22.05.2016,"2.191.727,24 kn","2.191.727,24 kn",,,,,
"Inovativni kurikulum ""Cvjećara"" u skladu s europskim standardima kvalitete 
FLORA +",Europski socijani fond,HR,Razvoj ljudskih potencijala,Continental Croatia,KRAPINSKO-ZAGORSKA,"Srednja škola ""Arboretum Opeka""",7662038503,20.04.2015,19.05.2016,"1.649.762,12 kn","1.649.762,12 kn",,,,,
Engleski i njemački jezik u strojarstvu i prometu interaktivno - EDSIPI@,Europski socijani fond,HR,Razvoj ljudskih potencijala,Continental Croatia,KRAPINSKO-ZAGORSKA,STROJARSKA I PROMETNA ŠKOLA VARAŽDIN ,59195457844,20.04.2015,04.05.2016,"1.729.434,13 kn","1.957.413,03 kn",,,,,
Unapređenje studijskog programa Dentalna medicina u skladu s HKO,Europski socijani fond,HR,Razvoj ljudskih potencijala,Continental Croatia,KRAPINSKO-ZAGORSKA,"Sveučilište u Zagrebu, STOMATOLOŠKI  FAKULTET",70221464726,18.06.2015,18.09.2016,"2.436.799,96 kn","2.565.052,59 kn",,,,,
IZRADA STANDARDA ZANIMANJA I STANDARDA KVALIFIKACIJE STRUČNJAKA ZA OBRAZOVANJE ODRASLIH,Europski socijani fond,HR,Razvoj ljudskih potencijala,Continental Croatia,KRAPINSKO-ZAGORSKA,Filozofski fakultet Sveučilišta u Splitu ,98004523293,30.06.2015,31.08.2016,"896.900,00 kn","944.546,00 kn",,,,,
